source_dataset,account_id,label,quality_flag,feature_completeness,username,display_name,description,location,lang,created_at,account_age_days,followers_count,following_count,followers_following_ratio,tweet_count,tweets_per_day,listed_count,favourites_count,verified,default_profile,default_profile_image,description_length,username_length
Twitter Bot Training Data 2,3068667437,1,ok,1.0,scell_papers,Single Cell papers,A twitter bot account for papers employing sequencing of single cells,"Vienna, Austria",en,3/3/2015 21:16,758,803,31,25.09375,808,1.0659630606860158,34,0,False,False,False,69,12
Twitter Bot Training Data 2,7.19E+17,1,ok,1.0,WizardGenerator,Wizard Generator,Generates a random wizard every 3 hours. | Bot by @THEWAAnderson,,en,4/9/2016 16:07,355,164,0,164.0,2714,7.645070422535211,35,51,False,True,False,64,15
Twitter Bot Training Data 2,3035152834,1,ok,1.0,bouquetbot,Bouquet Bot,Infinite random bouquets for @missbananabiker on Valentines Day 2015. Mostly flowers we can't keep in the house because they're poisonous to cats. By @aparrish.,,en,Fri Feb 13 17:54:45 +0000 2015,776,17,1,8.5,1522,1.961340206185567,8,0,False,True,False,160,10
Twitter Bot Training Data 2,7.95E+17,1,ok,1.0,astronaut_bot,Astronaut Notifier,Keeping an eye on astronauts coming and going. #NaBoMaMo bot by @NotInventedHere using #IFTTT.,,en,Fri Nov 04 12:11:27 +0000 2016,146,9,0,9.0,6,0.0410958904109589,5,0,False,True,False,94,13
Twitter Bot Training Data 2,3327104705,1,ok,1.0,censusAmericans,censusAmericans,Tweeting the census one real american at a time. http://t.co/85PJrd9oMH,,en,Mon Jun 15 14:44:07 +0000 2015,654,9632,0,9632.0,13936,21.30886850152905,239,0,False,False,False,71,15
Twitter Bot Training Data 2,8.41E+17,1,ok,1.0,tibbits_marcus,Marcus Ryan Tibbits,,,en,Sun Mar 12 01:07:36 +0000 2017,18,0,86,0.0,0,0.0,0,0,False,True,True,0,14
Twitter Bot Training Data 2,770720756242219009,1,ok,1.0,3461holley,1 347-615-3461holley,,,en,Tue Aug 30 20:32:02 +0000 2016,212,6,109,0.05454545454545454,2,0.0094339622641509,0,0,False,True,True,0,10
Twitter Bot Training Data 2,187230074,1,ok,1.0,isu_bot2_fs,ISU News (S/P/ID),"An unofficial bot publishing ISU News of Single & Pair Skating / Ice Dance. (Icon from Bruno Maia, IconTexto http://t.co/QqWb2Z3LM8)","Lausanne, Switzerland",en,Sun Sep 05 16:59:09 +0000 2010,2398,1784,43,40.54545454545455,389,0.1622185154295246,89,5,False,False,False,132,11
Twitter Bot Training Data 2,3227013130,1,ok,1.0,HaikuMurakami,Haiku Murakami,"Š—“The past increases, the future recedes. Possibilities decreasing, regrets mounting.Š— Generate your own at https://t.co/sMl8EGHQRa","New York, NY",en,5/1/2015 21:03,699,79,0,79.0,4007,5.732474964234621,3,5,False,False,False,134,13
Twitter Bot Training Data 2,7.43E+17,1,ok,1.0,Clippy_exe,Microsoft Clippy,It looks like you're writing a tweet! Can I help?,"Redmond, WA",en,Wed Jun 15 15:45:03 +0000 2016,288,96,29,3.2,195,0.6770833333333334,10,0,False,True,False,49,10
Twitter Bot Training Data 2,2887281063,1,ok,1.0,fullmetaliberty,Roberts & Roberts,Serving clients for nearly 40 years. We buy and sell physical precious metals and prefer bitcoin but take most payment types. Not your average brokerage firm.,"Pensacola, FL",en,Fri Nov 21 20:38:20 +0000 2014,860,600,818,0.7326007326007326,1787,2.077906976744186,40,651,False,False,False,158,15
Twitter Bot Training Data 2,2364212785,1,ok,1.0,cancerSL,Synthetic Lethality,"Daily RSS feed for papers on Synthetic Lethality in Cancer. cancer AND (synthetic lethal OR synthetic lethality). Largely automated, don't expect responses",,en-gb,2/27/2014 13:52,1127,52,2,17.333333333333332,702,0.6228926353149956,5,0,False,True,False,155,8
Twitter Bot Training Data 2,2361303974,1,ok,1.0,phylogeo_papers,phylogeopapers,"RSS feed from arXiv, bioRxiv, Pubmed, and PeerJ maintained by @michaelgharvey",,en,2/25/2014 16:03,1129,184,0,184.0,1125,0.9964570416297608,8,0,False,True,False,77,15
Twitter Bot Training Data 2,390583023,1,ok,1.0,asdfghjkl0l2,FREE FOLLOW/READ BIO,This is basically a free follow. NOW follow my other acc @crybbygina,Twerking With Nick ;),en,Fri Oct 14 06:18:48 +0000 2011,1994,945,2027,0.46597633136094674,13935,6.988465396188566,3,2847,False,False,False,68,12
Twitter Bot Training Data 2,2824664324,1,ok,1.0,sexyeveryword,sexy everyword,"every sexy word in the english language, with the top sexy image search result. probably a bad idea. the worst. // @thricedotted's mistake",sexy everywhere,en,Sun Sep 21 17:22:49 +0000 2014,921,67,0,67.0,886,0.9619978284473398,17,0,False,True,False,138,13
Twitter Bot Training Data 2,7.99E+17,1,ok,1.0,hortensiadicke3,Hortensia Dickens,just a litle boy from bradfordthen he smashedit,,en,Wed Nov 16 20:55:12 +0000 2016,134,1,29,0.03333333333333333,72,0.5373134328358209,0,48,False,True,False,47,15
Twitter Bot Training Data 2,2497712840,1,ok,1.0,Sexkitten0422,sexkitten04,,,en,Fri May 16 04:23:57 +0000 2014,1049,338,471,0.7161016949152542,260,0.2478551000953288,5,35,False,False,False,0,13
Twitter Bot Training Data 2,195370058,1,ok,1.0,kanyejordan,Kanye Jordan,This is what I do. I drop truth bombs.,,en,9/26/2010 14:45,2377,2925,3,731.25,708,0.2978544383676904,139,0,False,True,False,38,11
Twitter Bot Training Data 2,4706049494,1,ok,1.0,someboxes,some boxes,,,en-gb,1/4/2016 0:11,451,10,0,10.0,10370,22.993348115299334,2,0,False,False,False,0,9
Twitter Bot Training Data 2,1098813444,1,ok,1.0,mahireyvazov,Mahir Huseyn,,,en,17/01/2013 17:44,1533,47,197,0.23737373737373738,1,0.0006523157208088,0,62,False,True,False,0,12
Twitter Bot Training Data 2,224383150,1,ok,1.0,mlegoudes262,Laurie Poulsen,,,en,Wed Dec 08 21:29:31 +0000 2010,2304,54,1351,0.03994082840236687,6,0.0026041666666666,0,2,False,True,False,0,12
Twitter Bot Training Data 2,163803902,1,ok,1.0,1lovetakes2,Camisha,,,en,Wed Jul 07 09:25:23 +0000 2010,2458,0,9,0.0,0,0.0,0,0,False,True,True,0,11
Twitter Bot Training Data 2,2823014245,1,ok,1.0,coolbot420,æ_æàu‚ææà-ƒ_noƒÙ,verb noun every day // a bot by @inky,,en-gb,Sat Sep 20 23:36:22 +0000 2014,922,209,16,12.294117647058824,21278,23.07809110629067,20,0,False,False,False,37,10
Twitter Bot Training Data 2,356900531,1,ok,1.0,topbiopapers,topbiopapers,Streaming biological articles of top relevance in the fields of cell- and molecular biology and genetics. Caution: addictive!,,ru,8/17/2011 14:58,2052,335,3,83.75,4934,2.40448343079922,22,2,False,False,False,125,12
Twitter Bot Training Data 2,4849785894,1,ok,1.0,STaafunnyx,Stasia Adams,"ALO audio designs and creates portable headphone amplifiers, audio interconnects and the flagship headphone amplifier, Studio Six.","Masonboro, NC, USA",en,2/2/2016 15:53,422,1,369,0.002702702702702703,36,0.0853080568720379,0,28,False,True,False,130,10
Twitter Bot Training Data 2,2384073290,1,ok,1.0,bionet_papers,BioNetPapers,A feed for papers in network biology.,@heathermvincent,en,3/11/2014 18:49,1115,62,0,62.0,4106,3.682511210762332,19,0,False,True,True,37,13
Twitter Bot Training Data 2,2147957118,1,ok,1.0,pizzaclones,Pizza Clones,Every noun is an adjective noun under certain conditions. This bot generates jokes accordingly. Pic from: http://t.co/Gm58cmuKVv,,en,Mon Oct 21 22:53:57 +0000 2013,1256,155,0,155.0,14702,11.705414012738853,34,0,False,True,False,128,11
Twitter Bot Training Data 2,2488961221,1,ok,1.0,DistractedGenie,Distracted Genie,"Huh? What? You had a... a wish. I see. Hold on. Let me whip something up for you. // A bot by @tinysubversions, tweets a few times a day",,en,Sat May 10 23:17:18 +0000 2014,1055,125,1,62.5,3201,3.034123222748815,30,0,False,True,False,136,15
Twitter Bot Training Data 2,3352995195,1,ok,1.0,space_stories,Just Space Things,Just some space stories. A http://t.co/8dBPX7FlIa bot (with occasional analogue stories) by @notinventedhere and @thos_thom.,SPACE,en,Wed Jul 01 11:04:09 +0000 2015,638,499,53,9.24074074074074,2592,4.06269592476489,51,75,False,True,False,124,13
Twitter Bot Training Data 2,2367592460,1,ok,1.0,CantorLogical,Cantor Logical,"German words only look uncountably long. Defining German words by parts, automatically. Data from http://t.co/dq9aw8fdCR | Created by @hazzen",Germany,en,Sat Mar 01 20:36:44 +0000 2014,1125,2,1,1.0,1360,1.208888888888889,1,0,False,True,False,141,13
Twitter Bot Training Data 2,2598993007,1,ok,1.0,sg_ebooks,Space Ghost Ebooks,,,en,Wed Jul 02 02:50:59 +0000 2014,1002,70,5,11.666666666666666,4310,4.301397205588822,8,2,False,True,False,0,9
Twitter Bot Training Data 2,2420779892,1,ok,1.0,scientificpaper,scientificpapers,,,en,3/31/2014 16:27,1095,305,4,61.0,112538,102.77442922374428,13,0,False,True,True,0,15
Twitter Bot Training Data 2,7.45E+17,1,ok,1.0,biorxiv_genomic,bioRxiv Genomics,,,en,6/21/2016 20:06,282,956,0,956.0,434,1.5390070921985817,34,0,False,True,False,0,15
Twitter Bot Training Data 2,7.37E+17,1,ok,1.0,scdicaprio,saved,,,en,Mon May 30 12:07:45 +0000 2016,304,543,3911,0.1388036809815951,0,0.0,0,141,False,True,False,0,10
Twitter Bot Training Data 2,2419923152,1,ok,1.0,allemptysets,All the Nothings,Tweeting every element of every empty set from now until eternity,,en,Mon Mar 31 03:36:27 +0000 2014,1095,37,0,37.0,0,0.0,8,0,False,True,False,65,12
Twitter Bot Training Data 2,8.34E+17,1,ok,1.0,thedismalblog,Dismal Blogger,A blog about everything finance and economics. Content not necessarily all dismal.,,en,21/02/2017 9:51,37,13,164,0.07878787878787878,5,0.1351351351351351,1,0,False,True,False,82,13
Twitter Bot Training Data 2,4180417402,1,ok,1.0,ahouseofdust,A House of Dust,A poetry project created by Alison Knowles and James Tenney and the Siemens 4004 computer in 1967. Twitter version by @hugovk and SSBot for #D004x in 2015.,,en-gb,11/13/2015 17:42,503,107,30,3.4516129032258065,11151,22.168986083499007,17,2,False,False,False,155,12
Twitter Bot Training Data 2,87257462,1,ok,1.0,NY_Now,New York Events,"Real-time local buzz for live music, parties, shows and more local events happening right now in New York!",New York,en,11/3/2009 19:01,2704,34284,17397,1.9705713300379355,191383,70.77773668639053,889,0,False,False,False,106,6
Twitter Bot Training Data 2,2154978907,1,ok,1.0,_LostBuoy_,Station 51000,"Station 51000 went adrift on 3/10/2013. Unmoored, the NOAA buoy now transmits observation data from an unknown location.",Pacific Ocean,en,Fri Oct 25 14:00:05 +0000 2013,1252,273,37,7.184210526315789,10115,8.079073482428115,42,0,False,True,False,120,10
Twitter Bot Training Data 2,553782591,1,ok,1.0,spear_one,Spear,SPEAR,,en,4/14/2012 17:30,1811,8,45,0.17391304347826086,5,0.0027609055770292,0,3,False,True,False,5,9
Twitter Bot Training Data 2,3538441102,1,ok,1.0,kordeidangerouz,Lia,eu n†o sou sua querida « protect @brookehzxs at all costs,ill_a,pt,9/3/2015 22:27,574,3459,2282,1.5151116951379764,57256,99.74912891986062,11,3888,False,False,False,57,15
Twitter Bot Training Data 2,7.82E+17,1,ok,1.0,andrewhuangbot,ANDREW HUANG LYRICS,I'm a bot tweeting a random @andrewismusic lyric every two hours.,"Toronto, Ontario",en,Fri Sep 30 04:02:46 +0000 2016,181,275,1,137.5,1961,10.834254143646408,2,1,False,False,False,65,14
Twitter Bot Training Data 2,41784439,1,ok,1.0,AllTheCheeses,All The Cheeses,,,en,5/22/2009 9:43,2869,1325,1797,0.7369299221357063,18265,6.366329731613803,64,0,False,False,False,0,13
Twitter Bot Training Data 2,1213590199,1,ok,1.0,fly_papers,flypapers,Twitterbot of #Drosophila papers in #PubMed/#arXiv/#bioRxiv/#PeerJ/#F1000. Curated by @caseybergman. Image credit: http://t.co/ZkFYKg1uFl,,en,2/23/2013 20:14,1496,1690,0,1690.0,15530,10.381016042780749,38,108,False,True,False,137,10
Twitter Bot Training Data 2,8.41E+17,1,ok,1.0,Suarez06356267,Suarez,,,en,12/3/2017 15:18,-248,0,21,0.0,1,1.0,0,0,False,True,True,0,14
Twitter Bot Training Data 2,2436268172,1,ok,1.0,Eyescaler,Eyescaler,"Tweet a selfie at this bot, get back the picture with eyes enlarged. Twin of @botstache. Operated by @zhuowei.",,en,Thu Apr 10 01:04:36 +0000 2014,1085,71,0,71.0,1490,1.3732718894009217,14,0,False,True,False,110,9
Twitter Bot Training Data 2,7.92E+17,1,ok,1.0,soeqaib,soeqaib,"Chief Technology and Strategy Officer for Cisco. Investments and M&A. Love art, photography, Haiku and food :) Passionate about helping women in tech","Brookfield Center, OH, USA",en,10/29/2016 20:19,152,2,501,0.00398406374501992,130,0.8552631578947368,0,102,False,True,False,149,7
Twitter Bot Training Data 2,42503545,1,ok,1.0,AllOilPainting,Oil Painting,Welcome to http://t.co/OgGcZs9E0w. I hope to immerse you into a world all about  Oil Painting. It can become a serious passion. I Love painting!,United States,en,5/25/2009 22:35,2866,4856,2162,2.2450300508552936,1223,0.4267271458478716,85,0,False,False,False,144,14
Twitter Bot Training Data 2,1917328862,1,ok,1.0,SmoothUnicode,Smooth Unicode,Getting you through your workday with the softest glyphs from the smoothest scripts.,‰_¥,en,Sun Sep 29 14:52:56 +0000 2013,1278,354,1,177.0,29635,23.188575899843507,47,0,False,True,False,84,13
Twitter Bot Training Data 2,8.41E+17,1,ok,1.0,charand522,Charand,,,en,Sun Mar 12 18:04:42 +0000 2017,18,0,39,0.0,0,0.0,0,0,False,True,False,0,10
Twitter Bot Training Data 2,1956227743,1,ok,1.0,CultEvoBot,CultEvoBot,I automatically gather and tweet news/blog posts on cultural evolution. Retired (for the time being...),,en,10/12/2013 9:08,1265,455,480,0.9459459459459459,6320,4.996047430830039,23,42,False,True,False,103,10
Twitter Bot Training Data 2,4845168475,1,ok,1.0,SAmallenxx18,SAmallenxx18,I am an African,"North Mankato city, MN, USA",en,2/1/2016 15:27,423,1,341,0.0029239766081871343,36,0.0851063829787234,0,44,False,True,False,15,12
Twitter Bot Training Data 2,8.12E+17,1,ok,1.0,beiwiqe25,beiwiqe25,Official Twitter for Young Money Entertainment,"Carpentersville, United States",en,12/23/2016 15:27,97,0,243,0.0,18,0.1855670103092783,0,13,False,True,False,46,9
Twitter Bot Training Data 2,3033319478,1,ok,1.0,helpmeetgoal,READ BIO,RT THE LINK IN BIO PLEASE SHE NEEDS HELP WITH HER NASH FOLLOW ! Free follow from @nashsneck ! Please follow - goal is 2K ‰Ï¬,,en,Fri Feb 20 22:09:48 +0000 2015,769,128,1814,0.07052341597796143,18,0.0234070221066319,0,7,False,True,True,124,12
Twitter Bot Training Data 2,7.56E+17,1,ok,1.0,chinesphere,Chinesphere,,,en,22/07/2016 2:44,251,3,39,0.075,3,0.0119521912350597,0,0,False,True,True,0,11
Twitter Bot Training Data 2,7.51E+17,1,ok,1.0,xbangtan1,free follow read bio,Giving you a free follow and you can help me by following - @myoongi0903x -,‰Û_•üdont follow this acc‰Û_•ü,en,Wed Jul 06 09:56:35 +0000 2016,267,151,1437,0.10500695410292073,5,0.0187265917602996,0,1,False,True,False,75,9
Twitter Bot Training Data 2,1884655238,1,ok,1.0,eachtown,Each Town,"Tweeting every town and populated place in America, alphabetically. By @muffinista #botALLY",Somewhere in America,en,Thu Sep 19 22:59:26 +0000 2013,1288,137,0,137.0,86797,67.3889751552795,24,0,False,False,False,91,8
Twitter Bot Training Data 2,3245226532,1,ok,1.0,NixieBot,Your Words In Neon,"I'm a twitterised, neon display, clock. Tweet with #NixieBotShowMe and a word, full guide on tumblr. Be patient with long queues. Queue : Empty","Cardiff, Wales",en-gb,5/10/2015 18:19,690,2108,3,527.0,49270,71.40579710144928,60,8,False,False,False,143,8
Twitter Bot Training Data 2,1696989883,1,ok,1.0,Zzt_ebooks,Zzt ebooks,,,en,Sat Aug 24 17:01:01 +0000 2013,1314,153,0,153.0,2072,1.5768645357686453,15,0,False,True,False,0,10
Twitter Bot Training Data 2,8.32E+17,1,ok,1.0,angelia_irr,Angelia Irr,,,en,Wed Feb 15 15:36:15 +0000 2017,43,0,27,0.0,127,2.953488372093023,0,86,False,True,False,0,11
Twitter Bot Training Data 2,2616681584,1,ok,1.0,NaiveAnswers,NaÌøve Bot Answers,companion to @NaiveQuestions // [[report any slurs or offensive language to @thricedotted]],,en,Fri Jul 11 04:29:53 +0000 2014,993,41,1,20.5,673,0.6777442094662638,11,0,False,True,False,91,12
Twitter Bot Training Data 2,2959273881,1,ok,1.0,biofilmPapers,Biofilm Papers,Stay on top of all the latest publications on Biofilm research curated from PubMed. #biofilm #microbiology #antibioticresistance. Run by @mccarthy_ronan,,en,1/3/2015 23:09,817,460,65,6.96969696969697,9058,11.086903304773562,26,14,False,True,False,152,13
Twitter Bot Training Data 2,7.08E+17,1,ok,1.0,baeksehuniie,#Read Bio,free follow from @itskaisehun go follow !,,en,Fri Mar 11 06:26:23 +0000 2016,384,1569,4882,0.32131886135572396,112,0.2916666666666667,0,95,False,True,False,41,12
Twitter Bot Training Data 2,1705052335,1,ok,1.0,TwoHeadlines,Two Headlines,Comedy is when you take two headlines about different things and then confuse them. Updates hourly. // By @tinysubversions,The Bugle Planet,en,Tue Aug 27 16:00:04 +0000 2013,1311,7852,1,3926.0,27610,21.06025934401221,400,8,False,True,False,122,12
Twitter Bot Training Data 2,2801421163,1,ok,1.0,sponge_papers,Sponge Papers,Recent papers on sponges (Phylum Porifera).,,en,9/10/2014 8:39,932,50,0,50.0,926,0.9935622317596566,0,0,False,True,True,43,13
Twitter Bot Training Data 2,3424772890,1,ok,1.0,CitiBikeDocks,Citibike Dock Status,"I am a bot, unofficial and unsanctioned, created by @rdunks1 to tweet the overall status of @citibikenyc docks. Detailed status is at https://t.co/yn3aKX8BCD","New York, USA",en,Sat Aug 15 20:42:07 +0000 2015,593,74,7,9.25,80949,136.50758853288363,27,1,False,True,False,157,13
Twitter Bot Training Data 2,3012013796,1,ok,1.0,likeuberbut,your new startup,"''The 'Hello World' of jokey, generative Twitter bots.'' - @joshmillard Creates bad ideas for startups. Made by @NoraReed with help from just_post.",Silicone Valley,en,Sat Feb 07 06:30:21 +0000 2015,782,2108,1,1054.0,5619,7.18542199488491,76,2,False,False,False,147,11
Twitter Bot Training Data 2,8.25E+17,1,ok,1.0,beefl96,beefl96,"Proud West Belconnian, Local Labor member  4 Ginninderra, Minister in the ACT Govt, mum of 2 with Cassie Cupcake K9 Campaigner, Chook lady, Love everything CBR.","Darlington town, IN, USA",en,1/27/2017 0:59,62,0,266,0.0,35,0.5645161290322581,0,22,False,True,False,160,7
Twitter Bot Training Data 2,559675462,1,ok,1.0,GoogleFacts,Google Facts,"Learn new things every day. When you doubt our facts, Google is your friend.",,en,4/21/2012 16:06,1804,1474799,1,737399.5,20990,11.635254988913523,6818,1793,False,False,False,76,11
Twitter Bot Training Data 2,2709947906,1,ok,1.0,vox_ebooks,vox_ebooks,,,en,Tue Aug 05 18:02:15 +0000 2014,968,396,0,396.0,3608,3.727272727272727,17,0,False,True,False,0,10
Twitter Bot Training Data 2,3066047482,1,ok,1.0,synbio_papers,synbiopapers,TwitterBot collecting #synbio papers,AI Lab @ UPM - Madrid,es,3/2/2015 14:57,759,166,25,6.384615384615385,3622,4.772068511198946,18,0,False,False,False,36,13
Twitter Bot Training Data 2,2842044927,1,ok,1.0,nice_tips_bot,hi i have advice,"hello, i am a robot that tweets little life tips // avi from The Wise Robot Will Answer Your Questions Now by @tomgauld // bot by @thricedotted",,en,Thu Oct 23 17:37:54 +0000 2014,889,5388,0,5388.0,31751,35.71541057367829,178,0,False,False,False,143,13
Twitter Bot Training Data 2,2646440287,1,ok,1.0,quantifiedinky,quantified inky,BIG DATA // @inky,,en-gb,Mon Jul 14 22:08:03 +0000 2014,990,8,1,4.0,258,0.2606060606060606,7,0,False,False,False,17,14
Twitter Bot Training Data 2,2980456333,1,ok,1.0,ididmorepushups,More Pushups Than U,,,en,Tue Jan 13 19:42:21 +0000 2015,807,8063,1,4031.5,119,0.1474597273853779,13,42,False,True,False,0,15
Twitter Bot Training Data 2,2651152393,1,ok,1.0,assignments_txt,assignments.txt,"daily writing assignments, posts twice a day ~bot by @cblgh~",,en-gb,Wed Jul 16 14:00:02 +0000 2014,988,148,0,148.0,1723,1.7439271255060729,22,0,False,False,False,60,15
Twitter Bot Training Data 2,436266454,1,ok,1.0,TwitterMovies,Twitter Movies,"Your backstage pass to your favorite movie stars. We Tweet the best of film on Twitter, from movie sets to the red carpet.",,en,Wed Dec 14 00:18:42 +0000 2011,1933,7154703,240,29687.564315352698,5995,3.10139679255044,4240,640,True,False,False,122,13
Twitter Bot Training Data 2,7.93E+17,1,ok,1.0,lixoxept96,lixoxept96,"In the end, only kindness matters.","Shawneetown city, IL, USA",en,10/29/2016 23:39,152,9,484,0.018556701030927835,109,0.7171052631578947,0,87,False,True,False,34,10
Twitter Bot Training Data 2,2245577389,1,ok,1.0,BotMtGFlavor,MtG Flavor Text Bot,"Bot that tweets flavor text from Magic: the Gathering cards. Made by @scutajar. MtG is property of Wizards of the Coast and Hasbro, I own nothing.",Tweets every 30 minutes,en-gb,Sat Dec 14 13:09:28 +0000 2013,1202,47,1,23.5,2610,2.171381031613977,9,0,False,True,False,146,12
Twitter Bot Training Data 2,8.05E+17,1,ok,1.0,DSWalsh6,D.S.Walsh,we have our own refugees this would be our first Nations and  Inuit,Canada,en,12/4/2016 8:50,116,3,38,0.07692307692307693,5,0.043103448275862,0,3,False,True,True,67,8
Twitter Bot Training Data 2,2206028467,1,ok,1.0,XsGonnaX,Xs Gonna X,Tweeters gonna tweet. Brought to you by @rfreebern.,,en,Thu Nov 21 01:36:58 +0000 2013,1225,13,5,2.1666666666666665,10693,8.728979591836735,4,0,False,False,False,51,8
Twitter Bot Training Data 2,2425231,1,ok,1.0,Fact,Fact,Interesting facts about the world we live in. Facebook: https://t.co/nKPHSWpSOr / Enquiries: tweetingfacts@gmail.com,WORLDWIDE,en,3/27/2007 7:29,3656,1655947,0,1655947.0,480858,131.52571115973743,5482,124,False,False,False,116,4
Twitter Bot Training Data 2,2704554914,1,ok,1.0,reverseocr,Reverse OCR,A bot that picks a word and then draws randomly until an OCR library (http://t.co/XmDeI5TWoF) reads that word. 4x daily. Also on Tumblr. // by @tinysubversions,,en,Sun Aug 03 17:26:28 +0000 2014,970,2149,1,1074.5,3741,3.856701030927835,198,0,False,True,False,159,10
Twitter Bot Training Data 2,8.25E+17,1,ok,1.0,anamariaq27,Anamaria Morris,"Life is a dream for the wise, a game for the fool, a comedy for the rich, a tragedy for the poor.","Holloman AFB, NM, USA",en,1/27/2017 0:38,62,1,261,0.003816793893129771,21,0.3387096774193548,0,24,False,True,False,97,11
Twitter Bot Training Data 2,277094568,1,ok,1.0,litoraptor,__Bored Woman__,phding among other things,,en,4/4/2011 17:50,2187,646,1221,0.5286415711947627,26729,12.221764974851396,38,25654,False,False,False,25,10
Twitter Bot Training Data 2,3045203078,1,ok,1.0,colorschemez,colorschemer,I'm trying to find colors that go well together. I'm probably not very good at it because I'm a robot with no sense of style. (a bot by @joemfox),,en,Fri Feb 27 02:48:24 +0000 2015,762,18672,0,18672.0,18270,23.976377952755904,252,0,False,False,False,145,12
Twitter Bot Training Data 2,7.95E+17,1,ok,1.0,startup_o_matic,startup_o_matic,Need a whizzy name for your social media startup? There's a #CDBQ bot for that.,Bay Area,en,Sun Nov 06 21:21:14 +0000 2016,144,16,1,8.0,1237,8.590277777777779,11,0,False,True,False,79,15
Twitter Bot Training Data 2,2954123037,1,ok,1.0,Joey_Cartero,Joey Carter,"John Densmore is the drummer for The Doors. He is also an author, activist and performance artist.","Willowbrook city, KS, USA",en,1/1/2015 2:52,819,14,1978,0.007074279939363315,426,0.5201465201465202,0,289,False,False,False,98,12
Twitter Bot Training Data 2,771193200367108100,1,ok,1.0,1pRsHsia8WbmoD7,___,33,,en,Thu Sep 01 03:49:21 +0000 2016,210,4,102,0.038834951456310676,0,0.0,0,2,False,True,False,2,15
Twitter Bot Training Data 2,4092326421,1,ok,1.0,menubot,Menu Bot,A random historical restaurant menu from NYPL's collection. Average three per day. Also https://t.co/OLgPaEtsK1 https://t.co/6nF9g7R4Mg by @hugovk,,en-gb,11/1/2015 20:29,515,280,48,5.714285714285714,4722,9.168932038834951,30,3,False,False,False,146,7
Twitter Bot Training Data 2,3021641217,1,ok,1.0,BioCodePapers,BioCodePapers,"Twitterbot of #bioinformatics papers in #PubMed reporting code in @github, @sourceforge, @bitbucket or @google code. Curated by @caseybergman.",,en,2/6/2015 16:29,783,147,0,147.0,1388,1.772669220945083,22,0,False,True,False,142,13
Twitter Bot Training Data 2,2612605603,1,ok,1.0,gorillacities,gorilla cities,Cities generated by gorillas.bas ‰Û¢ by @derekarnold,#botALLY,en,Tue Jul 08 23:34:09 +0000 2014,996,20,0,20.0,5131,5.151606425702811,10,0,False,False,False,52,13
Twitter Bot Training Data 2,818630278339923968,1,ok,1.0,SydneyPogoMap,Sydney PokŽmon Alert,Rare and strong PokŽmon in Sydney. See more PokŽmon at https://t.co/wV8awxCcnn,"Sydney, NSW",en,Tue Jan 10 01:27:22 +0000 2017,79,918,0,918.0,92849,1175.3037974683543,13,2,False,True,False,78,13
Twitter Bot Training Data 2,998166463,1,ok,1.0,JpTeixeira01,joaopaulo6,,andradas,pt,12/8/2012 22:55,1573,12,64,0.18461538461538463,7,0.0044500953591862,0,0,False,True,False,0,12
Twitter Bot Training Data 2,2789337546,1,ok,1.0,CRISPR_papers,CRISPRpapers,Automatic Twitterbot for papers on CRISPR/Cas genome engineering.,,en,9/4/2014 8:04,938,1381,0,1381.0,1292,1.3773987206823028,45,0,False,True,False,65,13
Twitter Bot Training Data 2,111660165,1,ok,1.0,SluttySara,Christine Patterson,,,en,Fri Feb 05 18:27:40 +0000 2010,2610,4948,296,16.65993265993266,41190,15.781609195402298,15,17,False,False,False,0,10
Twitter Bot Training Data 2,2954483033,1,ok,1.0,suavkog95,Ethen Ramirez,Old age has deformities enough of its own. It should never add to them the deformity of vice.,"Springfield city, NE, USA",en,1/1/2015 8:42,819,27,2257,0.011957484499557131,323,0.3943833943833943,2,288,False,False,False,93,9
Twitter Bot Training Data 2,8.41E+17,1,ok,1.0,rosalinemckeit4,Rosaline Mckeithan,,,en,Sun Mar 12 17:40:53 +0000 2017,18,0,30,0.0,0,0.0,0,0,False,True,True,0,15
Twitter Bot Training Data 2,8.41E+17,1,ok,1.0,eatdicks4health,FUCKFACE,,,en,Sun Mar 12 17:41:53 +0000 2017,18,0,18,0.0,0,0.0,0,0,False,True,True,0,15
Twitter Bot Training Data 2,8.33E+17,1,ok,1.0,TrevisanOlympia,Olympia Trevisan,Beôiktaô-SlimShady-Green-16-CAÛÁHL-CA-TkirdaÛô-ÛÁNTEPE Pofie bakmÛ±ôken takip et,,en,Fri Feb 17 13:42:49 +0000 2017,41,0,44,0.0,106,2.5853658536585367,0,73,False,True,False,83,15
Twitter Bot Training Data 2,7.82E+17,1,ok,1.0,ProtasMerrill,Merrill Protas,I luv Zendya. She is SO awesome. Shak it up is my favorite disney channel show. teamfollowback zswager :3,,en,Sun Oct 02 04:54:18 +0000 2016,179,2,51,0.038461538461538464,125,0.6983240223463687,0,75,False,True,False,105,13
Twitter Bot Training Data 2,3227854754,1,ok,1.0,not_a_cop_bot,Not A Cop,Looking to stick it to the man yeah I hate the man,The streets,en-gb,Wed May 27 04:22:53 +0000 2015,673,213,213,0.9953271028037384,5988,8.897473997028232,18,0,False,False,False,50,13
